2026-09-03T08:57:48 | INFO     | root                           | setup_logging        | Logging configured: level=INFO, dir=logs
2026-09-03T08:57:48 | INFO     | app.main                       | lifespan             | SpliceTracker starting up
2026-09-03T08:57:48 | INFO     | app.main                       | lifespan             | Database initialized
2026-09-03T08:57:48 | INFO     | app.main                       | lifespan             | Event bus ready (11 event types)
2026-09-03T08:57:48 | INFO     | app.main                       | lifespan             | WebSocket heartbeat started (interval=5s)
2026-09-03T08:57:48 | INFO     | app.main                       | lifespan             | SIMULATION_MODE is enabled — starting simulation
2026-09-03T08:57:48 | INFO     | app.main                       | lifespan             | Frames directory: data/frames
2026-09-03T08:57:48 | INFO     | app.main                       | lifespan             | SpliceTracker ready
2026-09-03T08:57:48 | INFO     | app.simulation                 | _run_simulation      | Simulation started: splices=5, interval=10.0s, anomaly_prob=0.15
2026-09-03T09:00:20 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 1
2026-09-03T09:00:21 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 2
2026-09-03T09:00:34 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 1
2026-09-03T09:00:34 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 0
2026-09-03T09:00:48 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 1
2026-09-03T09:00:49 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 2
2026-09-03T09:00:52 | INFO     | app.simulation                 | _run_simulation      | Simulation stopped after 19 cycles
2026-09-03T09:09:36 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 1
2026-09-03T09:09:36 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 0
2026-09-03T09:09:42 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 1
2026-09-03T09:09:42 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 2
2026-09-03T09:13:39 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 1
2026-09-03T09:13:39 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 0
2026-09-03T09:13:45 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 1
2026-09-03T09:13:45 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 2
2026-09-03T09:17:42 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 1
2026-09-03T09:17:42 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 0
2026-09-03T09:17:48 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 1
2026-09-03T09:17:49 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 2
2026-09-03T09:24:45 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 1
2026-09-03T09:24:45 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 0
2026-09-03T09:24:51 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 1
2026-09-03T09:24:52 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 2
2026-09-03T09:28:48 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 1
2026-09-03T09:28:48 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 0
2026-09-03T09:28:54 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 1
2026-09-03T09:28:54 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 2
2026-09-04T13:25:38 | INFO     | root                           | setup_logging        | Logging configured: level=INFO, dir=logs
2026-09-04T13:25:38 | INFO     | app.main                       | lifespan             | SpliceTracker starting up
